vocab_size,cit_as_vocab,target,text_span,max_docs,max_cit_count,klist,partition,n,model,features,n_svm,max_docs,cit_2-F1,cit_2-P,cit_2-R,cit_3-F1,cit_3-P,cit_3-R,cit_4-F1,cit_4-P,cit_4-R,Macro-F1
29665,True,cit_class,50,10,10,1|5|20,5-6,150104,letor,year,2000,10,36.205737491253835,42.341879793344674,31.622968892297372,46.0553361385233,48.62850260209532,43.74080130825838,50.37501116104646,45.17200886065814,56.93262470987924,44.21202826360786
29665,True,cit_class,50,10,10,1|5|20,6-6,151574,letor,year,2000,10,36.65182786995818,42.987785583190934,31.943660647103084,45.93901519232841,48.59467961430623,43.55857052369179,50.70039938916951,45.3714045438419,57.44779968388654,44.43041415048537
29665,True,cit_class,50,10,10,1|5|20,1-6,148406,letor,year,2000,10,36.04424384263903,42.1359476272677,31.49144373311263,46.44273714180151,48.69539457192991,44.38928126298297,50.63268298184279,45.61365483608778,56.89279378220833,44.373221322094444
29665,True,cit_class,50,10,10,1|5|20,2-6,148761,letor,year,2000,10,36.256421082260225,42.394023170089525,31.67121536229746,45.9894193493114,47.716615924798326,44.382893404162964,50.54061567823036,45.8339011692878,56.324630302624314,44.26215203660066
29665,True,cit_class,50,10,10,1|5|20,3-6,149063,letor,year,2000,10,37.45865113863146,43.24443743096103,33.03836230800762,46.43980306677945,48.46317504866235,44.57861425716189,50.8911219247631,46.150062844964204,56.71782128345478,44.929858710058
29665,True,cit_class,50,10,10,1|5|20,4-6,151369,letor,year,2000,10,36.003546341130736,42.48784727811222,31.236391176749027,45.98508023399345,47.729500891265594,44.36367401884643,50.72876454960443,45.821069657677725,56.81384797475013,44.239130374909536
29665,True,cit_class,50,10,10,1|5|20,5-6,150104,letor,year,2000,10,36.306874974326675,42.34835659756604,31.773953889661122,46.0496322738807,48.57544687414935,43.77350776778414,50.33725618799889,45.198292131222146,56.794712233845736,44.23125447873542
29665,True,cit_class,50,10,10,1|5|20,6-6,151574,letor,year,2000,10,36.759973610157395,43.004756954289135,32.09885252069225,45.94894322598705,48.566096139839765,43.59943605565885,50.66911764705882,45.39824757889189,57.32468180683803,44.45934482773442
29665,True,cit_class,50,10,10,1|5|20,1-6,148406,letor,year|issarea,2000,10,35.3097766693754,41.59706862971644,30.67354738200141,45.422302486432145,41.15345039893393,50.679268799335276,50.122442062449686,50.273669896311404,49.97212131452226,43.618173739419085
29665,True,cit_class,50,10,10,1|5|20,2-6,148761,letor,year|issarea,2000,10,35.203304137292605,41.83252098564852,30.387745568095205,45.25954882770986,40.928996456508656,50.614936232662934,50.15281276238455,50.28877401539006,50.017584699636586,43.53855524246234
29665,True,cit_class,50,10,10,1|5|20,3-6,149063,letor,year|issarea,2000,10,36.35437881873727,42.3433242506812,31.84963711330263,45.435007117537054,41.07217951521472,50.83486009327115,50.27251074361952,50.76259436142351,49.79179959031532,44.02063222663128
29665,True,cit_class,50,10,10,1|5|20,4-6,151369,letor,year|issarea,2000,10,35.322850635273454,42.0241593209272,30.464830067215754,44.971226246786394,40.279598793759014,50.899865382624,50.217742938907556,50.683991092209034,49.75999473961073,43.50393994032246
29665,True,cit_class,50,10,10,1|5|20,5-6,150104,letor,year|issarea,2000,10,35.45489401325519,41.358379656252,31.02621866462158,45.06447959668286,40.73004028263884,50.43131643499591,49.602338386241584,50.12536493216555,49.090114030071646,43.37390399872654
29665,True,cit_class,50,10,10,1|5|20,6-6,151574,letor,year|issarea,2000,10,35.5506493860474,42.280138740315735,30.66920617005267,45.10758057194735,40.58716855364407,50.76112053288654,50.285484990093714,50.53431010148531,50.039098244738376,43.647904982696154
29665,True,cit_class,50,10,10,1|5|20,1-6,148406,letor,year|issarea|vlj,2000,10,33.52053352053352,41.98571166880381,27.89610768968623,45.06681716485599,43.767372665700975,46.445783132530124,52.27613961767665,48.22991788646912,57.06344512967812,43.62116343435539
29665,True,cit_class,50,10,10,1|5|20,2-6,148761,letor,year|issarea|vlj,2000,10,33.65855825178035,42.300535873771956,27.94866120823191,44.838453096525406,43.710494287621216,46.02616837884206,52.43000811278299,48.278292246324725,57.36296494783206,43.64233982036291
29665,True,cit_class,50,10,10,1|5|20,3-6,149063,letor,year|issarea|vlj,2000,10,34.79419475923724,42.868742498058324,29.279290140573384,45.06125574272588,43.65727002967359,46.55854430379747,52.357229741770034,48.608174010616715,56.732932603512545,44.07089341457772
29665,True,cit_class,50,10,10,1|5|20,4-6,151369,letor,year|issarea|vlj,2000,10,33.98511704969078,42.8550844710205,28.157246994225126,44.82200164932884,43.077040601963255,46.714300507403955,52.40842532442951,48.57816579176375,56.89439768542872,43.73851467448304
29665,True,cit_class,50,10,10,1|5|20,5-6,150104,letor,year|issarea|vlj,2000,10,33.99355004423642,42.01114559819413,28.545750850788476,44.798007747648036,43.36164677073768,46.33278822567457,51.81405016364453,48.07714450201497,56.18083352955027,43.535202651843
29665,True,cit_class,50,10,10,1|5|20,6-6,151574,letor,year|issarea|vlj,2000,10,34.75397841595025,43.26805171145289,29.039691497366444,44.6680359995634,43.41988502642849,45.990069675732,52.34047738731741,48.264576573539536,57.16828882788454,43.92083060094368
